时间,成交价,手数,买卖盘性质
09:15:00,46.65,179,中性盘
09:15:09,47.01,181,中性盘
09:15:27,47.0,201,中性盘
09:15:45,47.0,272,中性盘
09:15:54,47.0,288,中性盘
09:16:03,47.0,290,中性盘
09:16:12,47.0,279,中性盘
09:16:30,47.0,295,中性盘
09:16:39,47.0,271,中性盘
09:16:48,47.0,293,中性盘
09:16:57,47.0,269,中性盘
09:17:06,47.0,269,中性盘
09:17:15,46.8,289,中性盘
09:17:24,46.65,320,中性盘
09:17:33,47.0,510,中性盘
09:17:42,47.0,511,中性盘
09:17:51,46.64,368,中性盘
09:18:00,46.64,368,中性盘
09:18:09,46.64,368,中性盘
09:18:18,46.64,368,中性盘
09:18:27,46.51,368,中性盘
09:18:36,46.51,378,中性盘
09:18:45,46.51,402,中性盘
09:18:54,46.51,409,中性盘
09:19:03,46.51,410,中性盘
09:19:12,46.51,392,中性盘
09:19:21,46.51,419,中性盘
09:19:30,46.51,400,中性盘
09:19:39,46.51,430,中性盘
09:19:48,46.51,447,中性盘
09:19:57,46.51,460,中性盘
09:20:00,46.51,463,中性盘
09:20:09,46.51,508,中性盘
09:20:18,46.51,541,中性盘
09:20:27,46.5,548,中性盘
09:20:36,46.51,573,中性盘
09:20:45,46.51,574,中性盘
09:20:54,46.5,664,中性盘
09:21:03,46.5,713,中性盘
09:21:12,46.5,725,中性盘
09:21:21,46.5,763,中性盘
09:21:30,46.51,808,中性盘
09:21:39,46.51,856,中性盘
09:21:48,46.51,873,中性盘
09:21:57,46.51,883,中性盘
09:22:06,46.51,959,中性盘
09:22:15,46.5,1046,中性盘
09:22:24,46.5,1064,中性盘
09:22:33,46.5,1098,中性盘
09:22:42,46.5,1211,中性盘
09:22:51,46.5,1232,中性盘
09:23:00,46.5,1262,中性盘
09:23:09,46.5,1350,中性盘
09:23:18,46.5,1484,中性盘
09:23:27,46.46,1558,中性盘
09:23:36,46.43,1676,中性盘
09:23:45,46.43,1686,中性盘
09:23:54,46.4,1742,中性盘
09:24:03,46.4,1774,中性盘
